approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,review,منحة الملك الجليل شرح صحيح محمد بن إسماعيل,mnhh almlk aljlyl shrh shyh mhmd bn asmaayl,Abd al-Aziz al-Rajihi,عبد العزيز الراجحي,hadith-studies,47.5,,https://islamhouse.com/ar/books/2830759/
x,review,توفيق الرب المنعم بشرح صحيح الإمام مسلم,twfyq alrb almnam bshrh shyh alamam mslm,Abd al-Aziz al-Rajihi,عبد العزيز الراجحي,hadith-studies,20.4,,https://islamhouse.com/ar/books/2830758/
,possible-dupe,الفوائد المجنية من التعليقات البازية على صحيح البخاري,alfwayd almjnyh mn altalyqat albazyh aly shyh albkhary,Sa'id ibn Ali al-Qahtani,سعيد بن علي بن وهف القحطاني,hadith-studies,22,,https://islamhouse.com/ar/books/2824521/
,possible-dupe,دليل أرباب الفلاح تحقيق فن الاصطلاح,dlyl arbab alflah thqyq fn alastlah,Hafiz al-Hakami,حافظ بن أحمد الحكمي,hadith-studies,1.3,,https://islamhouse.com/ar/books/2826182/
,possible-dupe,وجوب لزوم السنة والحذر من البدعة,wjwb lzwm alsnh walhdhr mn albdah,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,0.1,,https://islamhouse.com/ar/books/2822175/
,possible-dupe,فوائد من شرح اختصار علوم الحديث,fwayd mn shrh akhtsar alwm alhdyth,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,3.3,,https://islamhouse.com/ar/books/2800282/
,possible-dupe,مكانة السنة في الإسلام,mkanh alsnh fy alaslam,Salih al-Fawzan,صالح بن فوزان الفوزان,hadith-studies,0.1,,https://islamhouse.com/ar/books/496744/
,possible-dupe,المنظومة اللامية في الناسخ والمنسوخ,almnzwmh allamyh fy alnaskh walmnswkh,Hafiz al-Hakami,حافظ بن أحمد الحكمي,hadith-studies,1.8,,https://islamhouse.com/ar/books/474276/
,possible-dupe,تعريفات في فن علم المصطلح,taryfat fy fn alm almstlh,Hafiz al-Hakami,حافظ بن أحمد الحكمي,hadith-studies,0.6,,https://islamhouse.com/ar/books/474273/
,possible-dupe,120 سؤال وجواب في مصطلح الحديث وعلومه,120 swal wjwab fy mstlh alhdyth walwmh,Hafiz al-Hakami,حافظ بن أحمد الحكمي,hadith-studies,4.7,,https://islamhouse.com/ar/books/474260/
,possible-dupe,منزلة السنة في الإسلام وبيان أنه لا يُستغنى عنها بالقرآن,mnzlh alsnh fy alaslam wbyan anh la ystghny anha balqran,Muhammad Nasir al-Din al-Albani,محمد ناصر الدين الألباني,hadith-studies,0.2,,https://islamhouse.com/ar/books/474044/
,possible-dupe,المقترح في أجوبة بعض أسئلة المصطلح,almqtrh fy ajwbh bad asylh almstlh,Muqbil ibn Hadi al-Wadi'i,مقبل بن هادي الوادعي,hadith-studies,3,,https://islamhouse.com/ar/books/380513/
,possible-dupe,أحاديث معلة ظاهرها الصحة,ahadyth malh zahrha alshh,Muqbil ibn Hadi al-Wadi'i,مقبل بن هادي الوادعي,hadith-studies,8.6,,https://islamhouse.com/ar/books/380512/
,possible-dupe,تشجير أهم الكتب الفقهية المطبوعة على المذاهب الأربعة,tshjyr ahm alktb alfqhyh almtbwah aly almdhahb alarbah,Salih al-Fawzan,صالح بن فوزان الفوزان,hadith-studies,4.4,,https://islamhouse.com/ar/books/353501/
,possible-dupe,الباعث الحثيث شرح اختصار علوم الحديث,albaath alhthyth shrh akhtsar alwm alhdyth,Ibn Kathir,ابن كثير,hadith-studies,5.2,,https://islamhouse.com/ar/books/205051/
x,ok,الاعتصام بالكتاب والسنة أصل السعادة في الدنيا والآخرة ونجاة من مضلات الفتن,alaatsam balktab walsnh asl alsaadh fy aldnya walakhrh wnjah mn mdlat alftn,Sa'id ibn Ali al-Qahtani,سعيد بن علي بن وهف القحطاني,hadith-studies,0.5,,https://islamhouse.com/ar/books/193663/
,possible-dupe,وجوب العمل بسنة الرسول صلى الله عليه وسلم وكفر من أنكرها,wjwb alaml bsnh alrswl sly allh alyh wslm wkfr mn ankrha,Abd al-Aziz ibn Baz,عبد العزيز بن باز,hadith-studies,0.6,,https://islamhouse.com/ar/books/102358/
,possible-dupe,اللؤلؤ المكنون في أحوال الأسانيد والمتون,allwlw almknwn fy ahwal alasanyd walmtwn,Hafiz al-Hakami,حافظ بن أحمد الحكمي,hadith-studies,0.2,,https://islamhouse.com/ar/books/2477/
