approve,flag,title_ar,title_translit,author_en,author_ar,category_slug,size_mb,year,source_url
x,ok,مناهج المفسرين القسم الأول التفسير في عصر الصحابة,mnahj almfsryn alqsm alawl altfsyr fy asr alshabh,Imam Muslim,مسلم بن الحجاج,quran-studies,2.5,,https://waqfeya.net/books/مناهج-المفسرين-القسم-الأول-التفسير-في-عصر-الصحابة-ea55435c7b654b299ab89867d61cf566
,review,أسباب النزول المسمى لباب النقول في أسباب النزول - السيوطي,asbab alnzwl almsmy lbab alnqwl fy asbab alnzwl alsywty,al-Suyuti,السيوطي,quran-studies,5.7,,https://waqfeya.net/books/أسباب-النزول-المسمى-لباب-النقول-في-أسباب-النزول-السيوطي-ac88eea2a83f4e0d99622c87373db75c
x,ok,أحكام القرآن الكريم,ahkam alqran alkrym,al-Tahawi,الطحاوي,quran-studies,9.3,,https://waqfeya.net/books/أحكام-القرآن-الكريم-d54ecc184ab744c3ba2a55389e68fbab
,review,العجاب في بيان الأسباب - أسباب النزول - ط دار ابن حزم,alajab fy byan alasbab asbab alnzwl t dar abn hzm,Ibn Hajar al-Asqalani,ابن حجر العسقلاني,quran-studies,8.3,,https://waqfeya.net/books/العجاب-في-بيان-الأسباب-أسباب-النزول-ط-دار-ابن-حزم-b22b88104db9408ebca15b05b7c1042f
,review,العجاب في بيان الأسباب - أسباب النزول - ط. دار ابن الجوزي,alajab fy byan alasbab asbab alnzwl t dar abn aljwzy,Ibn Hajar al-Asqalani,ابن حجر العسقلاني,quran-studies,22.8,,https://waqfeya.net/books/العجاب-في-بيان-الأسباب-أسباب-النزول-ط-دار-ابن-الجوزي-29e6330f87f0415b976dd7cdbdeabf1f
,review,الإكليل في استنباط التنزيل - ت: الغماري,alaklyl fy astnbat altnzyl t alghmary,al-Suyuti,السيوطي,quran-studies,6.3,,https://waqfeya.net/books/الإكليل-في-استنباط-التنزيل-ت-الغماري-cd3e29add256417ab90bd38eb4624a51
x,ok,اختصاص القرآن بعودة إلى الرحيم الرحمن,akhtsas alqran bawdh aly alrhym alrhmn,Abd al-Rahman al-Sa'di,عبد الرحمن بن ناصر السعدي,quran-studies,1,,https://waqfeya.net/books/اختصاص-القرآن-بعودة-إلى-الرحيم-الرحمن-516de1e3ee4c430f89b856de6f16ea35
x,ok,دفع إيهام الاضطراب عن آيات الكتاب - ط. ابن تيمية,dfa ayham aladtrab an ayat alktab t abn tymyh,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,6.5,,https://waqfeya.net/books/دفع-إيهام-الإضطراب-عن-آيات-الكتاب-ط-ابن-تيمية-b9fafb354fde484aba533166508d1c88
x,ok,منع جواز المجاز في المنزل للتعبد والإعجاز - ط. مجمع الفقه,mna jwaz almjaz fy almnzl lltabd walaajaz t mjma alfqh,Muhammad al-Amin al-Shinqiti,محمد الأمين الشنقيطي,quran-studies,0.9,,https://waqfeya.net/books/منع-جواز-المجاز-في-المنزل-للتعبد-والإعجاز-ط-مجمع-الفقه-eea8e7becb684fca965a97e224a6a59f
,review,التبيان في آداب حملة القرآن - ط. ابن حزم,altbyan fy adab hmlh alqran t abn hzm,al-Nawawi,النووي,quran-studies,3.3,,https://waqfeya.net/books/التبيان-في-آداب-حملة-القرآن-ط-ابن-حزم-b6490f8c80c04d35b64c5785fad00bae
